danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,nltk,Happy,Angry,Surprise,Sad,Fear,primary_genre
0.443,0.403,-8.339,0.0322,0.631,0.0,0.111,0.41,143.462,0.9856,0.0,0.35,0.0,0.05,0.6,rock
0.755,0.876,-8.867,0.0362,0.357,5.17e-06,0.22,0.954,102.762,0.9716,0.17,0.0,0.17,0.4,0.27,rock
0.598,0.797,-6.793,0.0332,0.0424,0.000407,0.0717,0.622,123.566,0.128,0.12,0.06,0.47,0.12,0.24,rock
0.611,0.47,-9.135,0.0356,0.579,0.0,0.581,0.97,85.527,0.9091,0.03,0.1,0.03,0.41,0.41,rock
0.605,0.948,-7.351,0.136,0.000638,0.000136,0.214,0.442,119.717,0.9819,0.22,0.0,0.44,0.11,0.22,rock
0.532,0.244,-14.652,0.0327,0.707,4.56e-05,0.122,0.238,89.327,0.9694,0.26,0.11,0.15,0.22,0.26,rock
0.568,0.824,-4.613,0.0299,0.403,0.0,0.0855,0.753,108.625,0.9959,0.42,0.11,0.21,0.05,0.21,pop
0.609,0.617,-7.091,0.0307,0.0994,0.00404,0.118,0.543,128.903,-0.34,0.12,0.0,0.0,0.44,0.44,rock
0.608,0.524,-10.266,0.0309,0.367,0.00254,0.115,0.797,86.204,0.9482,0.1,0.0,0.5,0.35,0.05,rock
0.412,0.658,-12.051,0.0708,4.52e-05,0.000774,0.176,0.454,163.071,0.6384,0.28,0.04,0.24,0.32,0.12,rock
0.597,0.271,-17.293,0.0394,0.766,0.0119,0.0933,0.338,76.271,0.2387,0.32,0.0,0.26,0.26,0.16,rock
0.581,0.624,-8.346,0.0777,0.0987,0.0,0.0411,0.637,139.714,0.802,0.08,0.0,0.08,0.75,0.08,rock
0.623,0.633,-8.212,0.0304,0.336,4.6e-05,0.147,0.895,121.119,0.9595,0.0,0.0,0.67,0.17,0.17,rock
0.149,0.206,-13.888,0.0323,0.822,0.000649,0.115,0.264,79.764,-0.9697,0.06,0.03,0.1,0.55,0.26,rock
0.642,0.65,-8.567,0.0623,0.66,0.0,0.14,0.973,164.421,0.9761,0.42,0.05,0.05,0.26,0.21,pop
0.456,0.894,-4.602,0.037,0.458,0.485,0.0695,0.926,151.333,0.9852,0.05,0.2,0.25,0.15,0.35,rock
0.629,0.356,-11.135,0.0246,0.66,0.000617,0.173,0.472,83.886,0.9679,0.06,0.06,0.31,0.31,0.25,rock
0.589,0.85,-6.143,0.0343,0.0606,0.779,0.274,0.813,130.318,0.9231,0.14,0.43,0.14,0.07,0.21,rock
0.489,0.349,-14.295,0.0323,0.676,0.0789,0.0866,0.622,124.348,-0.8688,0.0,0.0,0.82,0.12,0.06,rock
0.529,0.743,-5.523,0.0481,0.177,0.0,0.0759,0.78,116.817,-0.6705,0.0,0.07,0.44,0.07,0.41,rock
0.578,0.434,-10.865,0.0471,0.802,0.00102,0.277,0.75,106.364,0.9889,0.28,0.11,0.06,0.06,0.5,rock
0.604,0.905,-7.059,0.0578,0.309,0.0632,0.0837,0.723,147.448,0.765,0.21,0.07,0.43,0.14,0.14,rock
0.562,0.503,-14.836,0.0335,0.319,0.0,0.163,0.846,127.827,0.9942,0.25,0.0,0.21,0.21,0.33,rock
0.299,0.329,-10.096,0.0279,0.756,0.0105,0.0559,0.392,132.282,0.7603,0.06,0.06,0.12,0.06,0.71,rock
0.745,0.656,-6.393,0.0405,0.188,0.00337,0.0941,0.858,105.318,-0.7783,0.1,0.03,0.03,0.13,0.7,rock
0.448,0.691,-6.957,0.0286,0.286,0.00111,0.945,0.633,88.836,0.9607,0.24,0.0,0.38,0.19,0.19,rock
0.652,0.94,-7.927,0.0776,0.0398,0.782,0.0567,0.72,91.242,0.3839,0.67,0.0,0.0,0.33,0.0,rock
0.55,0.726,-8.51,0.0516,0.146,0.00608,0.428,0.37,92.697,-0.8749,0.03,0.5,0.28,0.16,0.03,rock
0.547,0.46,-8.759,0.0256,0.344,0.442,0.0983,0.543,90.768,0.8701,0.0,0.35,0.53,0.12,0.0,rock
0.704,0.528,-13.382,0.0358,0.22,0.35,0.14,0.73,117.472,-0.8807,0.0,0.1,0.2,0.7,0.0,rock
0.676,0.339,-13.805,0.0509,0.717,9.77e-06,0.109,0.756,136.882,0.8074,0.81,0.0,0.0,0.19,0.0,rock
0.564,0.523,-12.908,0.122,0.178,0.0303,0.0624,0.89,149.304,0.9836,0.29,0.14,0.0,0.1,0.48,rock
0.538,0.261,-12.616,0.0364,0.439,1.02e-05,0.0887,0.528,102.153,-0.9566,0.0,0.05,0.14,0.27,0.55,rock
0.512,0.833,-8.697,0.0448,0.557,2.98e-05,0.31,0.519,101.188,-0.9815,0.0,0.07,0.4,0.2,0.33,rock
0.738,0.723,-10.356,0.0728,0.4,0.00134,0.0166,0.95,105.541,0.4642,0.17,0.0,0.33,0.17,0.33,rock
0.616,0.629,-6.9,0.0263,0.0285,1.32e-06,0.208,0.606,94.004,0.9744,0.0,0.25,0.25,0.25,0.25,rock
0.41,0.321,-11.771,0.0292,0.771,3.34e-06,0.103,0.301,86.553,0.9825,0.37,0.0,0.11,0.05,0.47,rock
0.76,0.702,-12.382,0.0362,0.123,1.38e-06,0.0807,0.885,118.783,0.9001,0.06,0.03,0.09,0.34,0.47,rock
0.448,0.558,-5.482,0.0299,0.191,0.000735,0.276,0.537,112.742,0.9973,0.29,0.0,0.07,0.43,0.21,rock
0.531,0.48,-10.633,0.0366,0.256,0.000136,0.0908,0.881,104.117,0.8622,0.17,0.2,0.17,0.13,0.33,rock
0.477,0.693,-6.348,0.0351,0.323,2.13e-06,0.192,0.593,127.555,-0.9812,0.29,0.0,0.52,0.0,0.19,rock
0.222,0.659,-9.942,0.0487,0.0169,2.09e-05,0.471,0.322,75.634,-0.1361,0.14,0.1,0.24,0.14,0.38,rock
0.797,0.388,-13.3,0.0557,0.192,0.0,0.0599,0.756,128.529,0.9762,0.12,0.12,0.25,0.25,0.25,rock
0.595,0.34,-15.214,0.0332,0.787,0.179,0.104,0.79,119.859,0.5994,0.14,0.0,0.29,0.14,0.43,pop
0.317,0.455,-7.647,0.0341,0.775,0.0131,0.0938,0.83,147.557,0.975,0.23,0.23,0.15,0.0,0.38,rock
0.214,0.503,-9.173,0.0315,0.298,6.04e-06,0.137,0.253,80.401,0.9421,0.5,0.0,0.25,0.0,0.25,pop
0.683,0.728,-8.92,0.259,0.568,5.08e-05,0.0384,0.833,75.311,0.942,0.0,0.1,0.1,0.15,0.65,rock
0.497,0.787,-11.039,0.0734,0.165,0.522,0.17,0.812,134.598,0.8492,0.33,0.07,0.0,0.33,0.27,rock
0.382,0.349,-13.096,0.0307,0.331,5.85e-05,0.308,0.421,50.937,0.9833,0.59,0.0,0.14,0.14,0.14,rock
0.413,0.248,-8.614,0.0267,0.572,2.14e-06,0.102,0.361,87.984,-0.3713,0.2,0.0,0.08,0.52,0.2,pop
0.536,0.562,-12.535,0.0333,0.0695,0.0562,0.161,0.391,102.059,0.3418,0.3,0.2,0.2,0.2,0.1,rock
0.641,0.697,-9.272,0.0513,0.125,0.00761,0.0993,0.781,125.0,0.9876,0.29,0.12,0.12,0.21,0.25,rock
0.311,0.827,-8.056,0.099,0.0543,0.305,0.631,0.843,176.229,-0.9641,0.2,0.0,0.2,0.5,0.1,rock
0.685,0.743,-12.346,0.0546,0.614,0.0,0.0815,0.714,132.083,0.9966,0.53,0.03,0.24,0.18,0.03,pop
0.439,0.567,-7.559,0.03,0.113,0.000119,0.116,0.402,119.882,-0.8867,0.19,0.11,0.28,0.17,0.25,rock
0.676,0.856,-6.126,0.048,0.14,0.000563,0.147,0.785,120.655,-0.34,0.16,0.0,0.11,0.37,0.37,rock
0.425,0.41,-15.881,0.0341,0.507,2.18e-06,0.3,0.664,82.177,0.9778,0.54,0.08,0.08,0.23,0.08,pop
0.845,0.446,-11.963,0.0471,0.479,0.0,0.0671,0.961,119.478,0.5719,0.11,0.21,0.18,0.18,0.32,rock
0.662,0.521,-9.615,0.0459,0.507,0.000713,0.105,0.667,157.249,0.9135,0.05,0.05,0.11,0.26,0.53,rock
0.605,0.574,-10.536,0.0377,0.559,0.113,0.0684,0.543,129.449,0.9807,0.12,0.17,0.29,0.38,0.04,rock
0.554,0.315,-11.028,0.0298,0.828,5.53e-06,0.101,0.325,128.157,0.9963,0.02,0.17,0.34,0.15,0.32,rock
0.338,0.34,-12.049,0.0339,0.58,0.0032,0.116,0.197,82.433,0.6757,0.03,0.17,0.41,0.17,0.21,rock
0.462,0.395,-9.376,0.0264,0.758,0.0,0.121,0.625,82.259,0.7722,0.16,0.03,0.03,0.48,0.29,rock
0.489,0.724,-8.367,0.0352,0.313,0.185,0.287,0.15,117.292,0.9267,0.09,0.09,0.09,0.45,0.27,rock
0.48,0.542,-8.51,0.0348,0.345,0.000609,0.113,0.567,152.853,0.9719,0.2,0.07,0.2,0.47,0.07,rock
0.741,0.697,-7.028,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,0.9413,0.53,0.05,0.11,0.26,0.05,rock
0.547,0.257,-12.358,0.0252,0.907,0.183,0.0935,0.169,75.752,0.6775,0.08,0.08,0.62,0.0,0.23,rock
0.404,0.902,-3.88,0.0665,0.577,0.297,0.287,0.497,115.669,0.9567,0.13,0.09,0.22,0.3,0.26,rock
0.564,0.932,-10.068,0.0554,0.013,0.169,0.349,0.619,112.937,-0.7906,0.06,0.0,0.33,0.17,0.44,rock
0.55,0.722,-11.729,0.0283,0.25,0.0129,0.11,0.716,103.886,0.9652,0.12,0.0,0.12,0.52,0.24,rock
0.394,0.622,-8.258,0.0336,0.213,4.45e-05,0.0892,0.342,126.844,-0.9401,0.23,0.08,0.0,0.46,0.23,rock
0.43,0.463,-10.96,0.0442,0.303,5.84e-05,0.152,0.66,93.405,0.997,0.11,0.14,0.5,0.19,0.06,rock
0.432,0.389,-6.517,0.0255,0.687,0.0107,0.0788,0.158,139.506,-0.858,0.09,0.32,0.23,0.23,0.14,rock
0.45,0.442,-12.718,0.0353,0.493,0.00564,0.134,0.812,208.282,-0.911,0.09,0.22,0.0,0.57,0.13,rock
0.689,0.2,-18.634,0.0309,0.795,0.0327,0.0893,0.478,91.787,0.7109,0.26,0.0,0.47,0.21,0.05,rock
