features,score,elbow
"['instrumentalness', 'liveness', 'nltk']",0.7124303082059802,2
"['Surprise', 'instrumentalness', 'nltk']",0.692822791276656,2
"['acousticness', 'instrumentalness', 'nltk']",0.6312963342955906,2
"['Happy', 'Sad', 'nltk']",0.6322507609843953,2
"['nltk', 'tempo', 'valence']",0.5451755010117019,2
"['Angry', 'acousticness', 'nltk']",0.6209787562392345,2
"['Happy', 'nltk', 'tempo']",0.625583997574814,2
"['instrumentalness', 'nltk', 'tempo']",0.6755228954692608,2
"['Fear', 'danceability', 'nltk']",0.611873655230098,2
"['acousticness', 'instrumentalness', 'loudness']",0.549558078624604,3
"['Happy', 'liveness', 'nltk']",0.6535182546951227,2
"['Angry', 'instrumentalness', 'speechiness']",0.74882852694362,2
"['Fear', 'nltk', 'valence']",0.550691755224687,2
"['Angry', 'acousticness', 'loudness']",0.5092786553975226,2
"['Surprise', 'nltk', 'tempo']",0.6223157554464619,2
"['acousticness', 'nltk', 'tempo']",0.5738311246249882,2
"['Angry', 'Happy', 'nltk']",0.6825515603527909,2
"['Surprise', 'liveness', 'nltk']",0.6499152774884137,2
"['acousticness', 'liveness', 'nltk']",0.5942293582888415,2
"['danceability', 'energy', 'nltk']",0.5849163794546809,2
"['instrumentalness', 'speechiness', 'valence']",0.5151345339783475,2
"['Angry', 'Surprise', 'nltk']",0.6787711609704913,2
"['Sad', 'energy', 'nltk']",0.5942855633161422,2
"['Happy', 'energy', 'nltk']",0.6026149468080696,2
"['energy', 'nltk', 'valence']",0.5312148661148189,2
"['Angry', 'nltk', 'valence']",0.5870399331831757,2
"['Fear', 'instrumentalness', 'nltk']",0.6864005080244193,2
"['Fear', 'loudness', 'nltk']",0.6391890075580221,2
"['Surprise', 'energy', 'nltk']",0.5994517512253531,2
"['acousticness', 'energy', 'nltk']",0.5630798962704648,2
"['Happy', 'acousticness', 'nltk']",0.5864694190031374,2
"['liveness', 'nltk', 'speechiness']",0.7120272445994192,2
"['loudness', 'nltk', 'tempo']",0.6314562106720282,2
"['Surprise', 'nltk', 'speechiness']",0.6911002018784833,2
"['Angry', 'danceability', 'nltk']",0.6569626167542845,2
"['Fear', 'liveness', 'nltk']",0.6452547006071849,2
"['energy', 'loudness', 'nltk']",0.6161498828580056,2
"['liveness', 'loudness', 'nltk']",0.6589750344388585,2
"['Happy', 'instrumentalness', 'speechiness']",0.5011845699920037,3
"['Sad', 'Surprise', 'nltk']",0.6301270078464353,2
"['Sad', 'nltk', 'valence']",0.5497505211998467,2
"['energy', 'instrumentalness', 'nltk']",0.6481668843997771,2
"['Angry', 'instrumentalness', 'nltk']",0.7499264271962094,2
"['instrumentalness', 'liveness', 'speechiness']",0.581632974348246,3
"['liveness', 'nltk', 'tempo']",0.6365132969546015,2
