,id,title,primary_artist,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s
0,4cOdK2wGLETKBW3PvgPWqT,Never Gonna Give You Up,Rick Astley,['Rick Astley'],0.721,0.939,8,-11.823,1,0.0376,0.115,3.79e-05,0.108,0.914,113.309,4,214
1,2tUBqZG2AbRi7Q0BIrVrEj,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,['Whitney Houston'],0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.818,4,291
2,7G7tgVYORlDuVprcYHuFJh,Don't Dream It's Over,Crowded House,['Crowded House'],0.439,0.422,8,-17.227,1,0.0409,0.0148,4.84e-05,0.0697,0.551,81.833,4,237
3,6wpGqhRvJGNNXwWlPmkMyO,I Still Haven't Found What I'm Looking For,U2,['U2'],0.564,0.774,1,-9.424,1,0.0368,0.0135,0.00191,0.0861,0.657,100.894,4,277
4,1aZLIbKEdsyqxyD6iNcrbA,Pour Some Sugar On Me,Def Leppard,['Def Leppard'],0.267,0.953,1,-4.899,0,0.096,0.00211,0.0,0.283,0.568,84.989,4,267
5,6W7ztLBiRzBN46ZaPAcQ0F,"(I've Had) The Time Of My Life - From ""Dirty Dancing"" Soundtrack",Bill Medley,"['Bill Medley', 'Jennifer Warnes']",0.697,0.669,6,-12.723,0,0.0406,0.0404,0.00897,0.0654,0.486,108.506,4,290
6,3EvpaRZkKWxsgDIO2zMH7g,"Heaven Is A Place On Earth - Promo 7"" Edit",Belinda Carlisle,['Belinda Carlisle'],0.605,0.902,4,-5.804,1,0.0385,0.0171,1.31e-06,0.124,0.692,122.866,4,234
7,3X7uFMzJrEE0sxn62qd8Ch,Nothing's Gonna Stop Us Now,Starship,['Starship'],0.643,0.802,6,-4.92,1,0.0227,0.0299,0.0,0.0719,0.53,95.99,4,270
8,6ADSaE87h8Y3lccZlBJdXH,With Or Without You - Remastered,U2,['U2'],0.54,0.429,2,-11.822,1,0.0285,0.000202,0.355,0.141,0.113,110.171,4,296
9,0oerlffJSzhRVvtDfLcp3N,Wanted Dead Or Alive,Bon Jovi,['Bon Jovi'],0.252,0.802,7,-3.976,1,0.0391,0.13,0.0146,0.309,0.253,150.056,4,309
10,0sKlV58cODrjxGFOyf9IXY,The Way You Make Me Feel - 2012 Remaster,Michael Jackson,['Michael Jackson'],0.877,0.854,1,-4.523,1,0.147,0.0544,5.5e-05,0.144,0.54,114.472,4,298
11,54b8qPFqYqIndfdxiLApea,Alone,Heart,['Heart'],0.418,0.452,1,-13.099,1,0.0356,0.638,0.00026,0.0959,0.168,175.088,4,219
12,0G21yYKMZoHa30cYVi1iA8,Welcome To The Jungle,Guns N' Roses,"[""Guns N' Roses""]",0.453,0.987,8,-4.485,1,0.0889,0.0195,0.283,0.268,0.316,123.544,4,273
13,6r8k1vznHrzlEKYxL4dZEe,La Isla Bonita,Madonna,['Madonna'],0.724,0.822,1,-4.374,0,0.0333,0.304,1.38e-05,0.0553,0.964,99.9,4,243
14,3OeUlriM0EZHdWleJtjoVr,Got My Mind Set On You - Remastered 2004,George Harrison,['George Harrison'],0.767,0.854,4,-6.947,1,0.0426,0.465,2.03e-06,0.485,0.963,149.206,4,235
15,1CtAzw53AIXKjAemxy4b1j,Beds Are Burning - Remastered,Midnight Oil,['Midnight Oil'],0.753,0.427,0,-11.112,1,0.0387,0.00787,0.00065,0.058,0.295,119.18,4,256
16,4CoSCPlKNrWli7E5kFtbcl,Little Lies - 2017 Remaster,Fleetwood Mac,['Fleetwood Mac'],0.64,0.649,2,-10.345,1,0.0264,0.216,8.3e-05,0.0551,0.865,124.825,4,221
17,6gQUbFwwdYXlKdmqRoWKJe,Dude (Looks Like A Lady),Aerosmith,['Aerosmith'],0.54,0.982,4,-2.962,0,0.0458,0.435,3.37e-05,0.0457,0.91,126.294,4,266
18,29wJiSQcze8HEmxkUQykyp,Carrie,Europe,['Europe'],0.455,0.487,7,-7.112,1,0.0264,0.114,2.43e-06,0.358,0.139,136.482,4,272
19,5lWFrW5T3JtxVCLDb7etPu,Bad - 2012 Remaster,Michael Jackson,['Michael Jackson'],0.787,0.889,8,-3.786,1,0.0397,0.00462,0.423,0.0665,0.394,114.091,4,247
20,4uvjOKsp7mSjrDhWdkLPBY,I Think We're Alone Now,Tiffany,['Tiffany'],0.752,0.723,7,-12.126,1,0.0507,0.025,0.00354,0.0212,0.94,130.519,4,229
21,5NLuC70kZQv8q34QyQa1DP,Fight For Your Right,Beastie Boys,['Beastie Boys'],0.503,0.858,8,-6.296,1,0.0657,0.00757,0.00234,0.0803,0.419,133.615,5,209
22,2d8D7uk3tbAThjRkdfrx9c,Voyage voyage,Desireless,['Desireless'],0.606,0.913,8,-6.039,0,0.0351,0.246,0.00696,0.34,0.838,123.58,4,267
23,2PFIZFcGry0po3ZfRZkzKc,Hysteria,Def Leppard,['Def Leppard'],0.659,0.846,7,-5.508,1,0.0274,0.0318,0.0144,0.203,0.659,107.01,4,355
24,2oSpQ7QtIKTNFfA08Cy0ku,It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,['R.E.M.'],0.381,0.894,7,-8.638,1,0.037,0.0258,0.0,0.0251,0.797,205.528,4,247
25,0IWtEFQBwRHaMXZQtGEVcM,Wonderful Life,Black,['Black'],0.72,0.521,7,-12.468,1,0.0302,0.705,0.36,0.214,0.823,106.055,4,288
26,6sT9MWlJManry3EQwf4V80,Push It,Salt-N-Pepa,['Salt-N-Pepa'],0.913,0.596,11,-12.477,0,0.0707,0.00658,0.00349,0.078,0.973,127.215,4,272
27,4qgZs0RNjdzKAS22lP0QjY,Where The Streets Have No Name - Remastered,U2,['U2'],0.49,0.724,2,-9.581,1,0.0366,0.00976,0.0046,0.159,0.292,125.812,4,338
28,0uMMLry3hzWGn3q3loqMkm,La Bamba,Los Lobos,['Los Lobos'],0.506,0.764,0,-12.239,1,0.046,0.144,0.00025,0.247,0.868,156.336,4,174
29,2fytePz8UsbUr8n33QBEcm,I Just Can't Stop Loving You (feat. Siedah Garrett) - 2012 Remaster,Michael Jackson,"['Michael Jackson', 'Siedah Garrett']",0.657,0.467,5,-8.925,1,0.0341,0.667,1.92e-06,0.0295,0.276,100.139,4,252
30,5qxChyzKLEyoPJ5qGrdurN,No Sleep Till Brooklyn,Beastie Boys,['Beastie Boys'],0.712,0.691,8,-8.157,1,0.128,0.122,0.0,0.0538,0.742,97.022,4,247
31,5eU8qMd0TpaLqTGDZJaLDs,Need You Tonight,INXS,['INXS'],0.801,0.723,10,-4.985,0,0.0689,0.0713,0.154,0.0675,0.883,109.03,4,181
32,7BdXRaSlGAzhySfuW3y8h5,"She's Like the Wind (feat. Wendy Fraser) - From ""Dirty Dancing"" Soundtrack",Patrick Swayze,"['Patrick Swayze', 'Wendy Fraser']",0.586,0.331,4,-14.677,0,0.0295,0.256,1.67e-05,0.18,0.223,124.915,4,233
33,4AfsbRvvuN7nEHAhONdeEp,Never Say Goodbye,Bon Jovi,['Bon Jovi'],0.326,0.797,2,-2.359,1,0.0334,0.0522,0.0,0.081,0.271,135.937,4,289
34,5mwzpzRue1SBWwrbbhXfbf,You Win Again,Bee Gees,['Bee Gees'],0.547,0.831,11,-11.298,0,0.0319,0.0874,8.34e-06,0.222,0.909,168.581,4,241
35,1exLL81vN8mD55M9HMOt1t,Nothing's Gonna Change My Love For You,Glenn Medeiros,['Glenn Medeiros'],0.451,0.424,1,-13.208,1,0.0371,0.572,1.77e-06,0.0553,0.394,141.836,4,232
36,5yMXAaSvxo12QkYU75Ixv0,Luka,Suzanne Vega,['Suzanne Vega'],0.63,0.697,6,-10.654,1,0.0311,0.189,0.000258,0.116,0.796,124.956,4,232
37,5fy4vfEtv6lzqLx2Mt7stF,It's a Sin - 2018 Remaster,Pet Shop Boys,['Pet Shop Boys'],0.544,0.86,0,-6.151,0,0.0489,0.206,0.00108,0.213,0.284,127.129,4,299
38,4qjscZh4jfhkpcQG4ZQfi2,Animal,Def Leppard,['Def Leppard'],0.583,0.921,11,-5.215,1,0.0468,0.00153,0.0178,0.188,0.613,119.526,4,245
39,3YSfGJNDtF8KrHlwCAaVns,Crazy Crazy Nights,KISS,['KISS'],0.591,0.87,7,-6.381,1,0.0652,0.409,0.0,0.718,0.747,121.682,4,228
40,08QP0rwnQSbbpGRIuXfrAY,Talk Dirty To Me,Poison,['Poison'],0.491,0.957,11,-3.67,1,0.096,0.00853,0.000879,0.371,0.635,158.067,4,224
41,6G3afsR0udhKnAU0Tut25j,Mary's Prayer,Danny Wilson,['Danny Wilson'],0.682,0.571,0,-13.139,1,0.0367,0.235,0.0,0.116,0.657,135.109,4,234
42,19wadMw1A8XejDV4p5wMt1,Didn't We Almost Have It All,Whitney Houston,['Whitney Houston'],0.54,0.49,10,-10.151,1,0.027,0.414,0.000896,0.142,0.336,130.992,4,305
43,0hOA8SoraNo2ZP1amtVYnY,Big Love - 2017 Remaster,Fleetwood Mac,['Fleetwood Mac'],0.709,0.699,10,-11.905,0,0.0466,0.0291,0.295,0.0673,0.592,125.377,4,224
44,5aWvinQcbc1W1WdP0GQ6J1,Electric Blue,ICEHOUSE,['ICEHOUSE'],0.688,0.909,10,-4.756,1,0.0354,0.0608,1.97e-06,0.1,0.641,109.673,4,264
45,58qBa4R0T7u0ZiuRvMJRUN,Sweet Little Mystery,Wet Wet Wet,['Wet Wet Wet'],0.711,0.581,0,-14.108,1,0.0357,0.408,0.0,0.0709,0.949,117.084,4,225
46,7nZCg1jgmXIjSBRifWkmaJ,Joe le taxi,Vanessa Paradis,['Vanessa Paradis'],0.797,0.415,6,-14.712,1,0.0395,0.467,3.92e-05,0.129,0.841,118.727,4,235
