id,title,primary_artist,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s,year,lyrics
7iN1s7xHE4ifF5povM6A48,Let It Be - Remastered 2009,The Beatles,['The Beatles'],0.443,0.403,0,-8.339,1,0.0322,0.631,0.0,0.111,0.41,143.462,4,243,1970,None
6QhXQOpyYvbpdbyjgAqKdY,Cecilia,Simon & Garfunkel,['Simon & Garfunkel'],0.755,0.876,0,-8.867,1,0.0362,0.357,5.17e-06,0.22,0.954,102.762,4,175,1970,hello world
2BhrrVRC8CoiWejbzj0VjQ,Son of a Preacher Man,Aretha Franklin,['Aretha Franklin'],0.474,0.473,2,-11.454,1,0.0601,0.545,1.25e-06,0.0356,0.561,77.583,4,199,1970,"[Verse 1]Billy Ray was a preacher's sonAnd when his daddy would visit he'd come alongWhen they gather 'round the parlour talkingThat's when Billy would take me walkingThrough the back yard we'd go walkingThen he'd look into my eyesLord knows, to my surprise[Chorus]The only one who could ever reach me(Was the son of a preacher man)The only boy who could ever teach me(Was the son of a preacher man)Yes he was (Hallelujah)Yeah, he was (Hallelujah)Ohh, he was (Ohh Hallelujah)[Verse 2]Being good isn't always easyNo matter how hard I tryWhen he started sweet-talking to meHe keeps 'n tellin' me ""Everything is all right"" (Sock it to me)Baby baby ""Everything is all right""(Ohh Sock it to me)Can I sneak away again tonight now[Chorus]The only one who could ever reach me(Was the son of a preacher man)I tell you that the only boy who could ever teach me(Was the son of a preacher man)Yes he was (Hallelujah)Yeah, he was (Hallelujah)Ohh, he was (Haaaa)[Verse 3]HmmmmHow well I rememberThe look that was in his eyesStealing kisses from me on the slyTaking time to make timeTelling me that he's all mineLearning from each other's knowingLooking to see how much we're growing"
3Bh6uInhcVBVvLraGZdkKD,Who'll Stop The Rain,Creedence Clearwater Revival,['Creedence Clearwater Revival'],0.598,0.797,7,-6.793,1,0.0332,0.0424,0.000407,0.0717,0.622,123.566,4,147,1970,None
6UkMcAA19lTdjs22jtB7o2,Big Yellow Taxi,Joni Mitchell,['Joni Mitchell'],0.611,0.47,4,-9.135,1,0.0356,0.579,0.0,0.581,0.97,85.527,4,135,1970,"[Verse 1]They paved paradise and put up a parking lotWith a pink hotel, a boutique, and a swingin' hot spot[Chorus]Don't it always seem to goThat you don't know what you've got 'til it's gone?They paved paradise, put up a parking lot(Shoo-bop-bop-bop-bopShoo-bop-bop-bop-bop)[Verse 2]They took all the trees, put 'em in a tree museumAnd they charged the people a dollar and a half just to see 'em[Chorus]Don't it always seem to goThat you don't know what you've got 'til it's gone?They paved paradise, put up a parking lot(Shoo-bop-bop-bop-bopShoo-bop-bop-bop-bop)[Verse 3]Hey farmer, farmer, put away the DDT nowGive me spots on my applesBut leave me the birds and the bees, please"
5LxvwujISqiB8vpRYv887S,I Want You Back,The Jackson 5,['The Jackson 5'],0.469,0.538,8,-13.559,1,0.0571,0.305,0.00012,0.37,0.886,196.605,4,176,1970,"[Intro: Michael Jackson]Uh-huh huh huh huhLet me tell ya nowUh-huh[Verse 1: Michael Jackson]When I had you to myself, I didn't want you aroundThose pretty faces always made you stand out in a crowdBut someone picked you from the bunch, one glance was all it tookNow it's much too late for me to take a second look[Chorus: Michael Jackson & Jackson 5]Oh, baby, give me one more chance (To show you that I love you)Won't you please let me (Back in your heart)Oh, darlin', I was blind to let you go (Let you go, baby)But now since I see you in his arms (I want you back)[Post-Chorus: Michael Jackson & Jackson 5]Yes, I do now (I want you back)Ooh, ooh, baby (I want you back)Yeah, yeah, yeah, yeah (I want you back)Na, na, na, na[Verse 2: Michael Jackson]Tryin' to live without your love is one long sleepless nightLet me show you, girl, that I know wrong from rightEvery street you walk on I leave tear stains on the groundFollowing the girl, I didn't even want aroundLet me tell you now"
0NgFZWdvnv218PVnY4I8UT,Instant Karma! (We All Shine On) - Ultimate Mix,John Lennon,"['John Lennon', 'Yoko Ono']",0.605,0.948,11,-7.351,0,0.136,0.000638,0.000136,0.214,0.442,119.717,4,201,1970,None
50q2aUjWoTn6CJIfSPRJQA,(They Long To Be) Close To You,Carpenters,['Carpenters'],0.532,0.244,8,-14.652,1,0.0327,0.707,4.56e-05,0.122,0.238,89.327,4,276,1970,None
2eF8pWbiivYsYRpbntYsnc,"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,['Stevie Wonder'],0.675,0.597,5,-11.329,1,0.0337,0.0534,0.0,0.0986,0.828,108.875,4,161,1970,None
5Ts1DYOuouQLgzTaisxWYh,Love Grows (Where My Rosemary Goes),Edison Lighthouse,['Edison Lighthouse'],0.568,0.824,9,-4.613,1,0.0299,0.403,0.0,0.0855,0.753,108.625,4,175,1970,None
0jvN7eQJJt4nxQzgQfZ1SP,Spirit In The Sky,Norman Greenbaum,['Norman Greenbaum'],0.609,0.617,9,-7.091,1,0.0307,0.0994,0.00404,0.118,0.543,128.903,4,243,1970,[Verse 1]When I die and they lay me to restGonna go to the place that's the bestWhen I lay me down to dieGoin' up to the spirit in the sky[Chorus]Goin' up to the spirit in the skyThat's where I'm gonna go when I dieWhen I die and they lay me to restI'm gonna go to the place that's the best[Verse 2]Prepare yourself you know it's a mustGotta have a friend in JesusSo you know that when you dieHe's gonna recommend youTo the spirit in the sky[Chorus]Gonna recommend youTo the spirit in the skyThat's where you're gonna go when you dieWhen you die and they lay you to restYou're gonna go to the place that's the best
