,id,title,primary_artist,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s
0,2H1047e0oMSj10dgp7p2VG,I Gotta Feeling,Black Eyed Peas,['Black Eyed Peas'],0.744,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.966,4,289
1,5R8dQOPq8haW94K7mgERlO,Poker Face,Lady Gaga,['Lady Gaga'],0.851,0.806,4,-4.62,1,0.0787,0.118,1.64e-06,0.121,0.787,118.999,4,237
2,4JehYebiI9JE8sR8MisGVb,Halo,Beyoncé,['Beyoncé'],0.508,0.72,11,-5.908,0,0.0628,0.272,0.0,0.0563,0.472,79.983,4,262
3,0uXO2GrNiIb1xHT9LUdxZE,Sexy Bitch (feat. Akon),David Guetta,"['David Guetta', 'Akon']",0.813,0.627,11,-5.018,0,0.0486,0.0771,0.000616,0.131,0.801,130.011,4,196
4,3GpbwCm3YxiWDvy29Uo3vP,Right Round,Flo Rida,['Flo Rida'],0.72,0.672,7,-6.852,1,0.0551,0.009,0.0,0.232,0.705,124.986,4,205
5,1D4PL9B8gOg78jiHg3FvBb,Love Story,Taylor Swift,['Taylor Swift'],0.617,0.741,2,-3.97,1,0.0311,0.131,0.0,0.0772,0.306,118.984,4,236
6,4EWCNWgDS8707fNSZ1oaA5,Heartless,Kanye West,['Kanye West'],0.79,0.647,10,-5.983,0,0.136,0.0515,0.0,0.248,0.654,87.999,4,211
7,2igwFfvr1OAGX9SKDCPBwO,Empire State Of Mind,JAY-Z,"['JAY-Z', 'Alicia Keys']",0.491,0.956,11,-1.538,1,0.392,0.0295,0.0,0.46,0.811,173.585,4,277
8,0SiywuOBRcynK0uKGWdCnn,Bad Romance,Lady Gaga,['Lady Gaga'],0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,4,295
9,0ntQJM78wzOLVeCUAW7Y45,Sex on Fire,Kings of Leon,['Kings of Leon'],0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.136,0.374,153.398,4,203
10,1EzrEOXmMH3G43AXT1y7pA,I'm Yours,Jason Mraz,['Jason Mraz'],0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,4,243
11,5r5cp9IpziiIsR6b93vcnQ,Walking On A Dream,Empire of the Sun,['Empire of the Sun'],0.871,0.701,5,-5.594,0,0.0458,0.257,7.52e-06,0.0589,0.716,126.975,4,198
12,6cmm1LMvZdB5zsCwX5BjqE,Down,Jay Sean,"['Jay Sean', 'Lil Wayne']",0.727,0.68,2,-4.498,1,0.0286,0.0101,0.0,0.0821,0.728,132.012,4,213
13,3QLjDkgLh9AOEHlhQtDuhs,Best I Ever Had,Drake,['Drake'],0.395,0.922,1,-2.176,1,0.375,0.19,0.0,0.134,0.558,162.361,4,258
14,2q4rjDy9WhaN3o9MvDbO21,Kiss Me Thru The Phone,Soulja Boy,"['Soulja Boy', 'Sammie']",0.758,0.712,7,-3.781,1,0.112,0.0185,0.0,0.0677,0.795,149.998,4,193
15,2UREu1Y8CO4jXkbvqAtP7g,Monster,Skillet,['Skillet'],0.64,0.957,8,-2.336,1,0.0741,0.0431,0.0,0.0789,0.692,134.992,4,178
16,7LR85XLWw2yXqKBSI5brbG,Run This Town,JAY-Z,"['JAY-Z', 'Rihanna', 'Kanye West']",0.632,0.924,1,-1.802,1,0.29,0.281,0.0,0.263,0.441,86.844,4,268
17,5VGlqQANWDKJFl0MBG3sg2,Use Somebody,Kings of Leon,['Kings of Leon'],0.276,0.715,0,-5.356,1,0.0432,0.00552,0.000417,0.201,0.173,137.028,4,231
18,1NhPKVLsHhFUHIOZ32QnS2,Secrets,OneRepublic,['OneRepublic'],0.516,0.764,2,-6.223,1,0.0366,0.0717,0.0,0.115,0.376,148.021,4,225
19,5Q0Nhxo0l2bP3pNjpGJwV1,Party In The U.S.A.,Miley Cyrus,['Miley Cyrus'],0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,4,202
20,4VqPOruhp5EdPBeR92t6lQ,Uprising,Muse,['Muse'],0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019,4,305
21,2x7MyWybabEz6Y6wvHuwGE,Just Dance,Lady Gaga,"['Lady Gaga', ""Colby O'Donis""]",0.822,0.739,1,-4.541,0,0.0311,0.0264,4.26e-05,0.181,0.745,118.992,4,242
22,64yrDBpcdwEdNY9loyEGbX,21 Guns,Green Day,['Green Day'],0.268,0.742,5,-4.939,1,0.0355,0.0518,0.0,0.626,0.416,159.779,4,321
23,1GEBsLDvJGw7kviySRI6GX,You Belong With Me,Taylor Swift,['Taylor Swift'],0.687,0.745,6,-4.432,1,0.0379,0.178,1.59e-05,0.111,0.435,129.966,4,232
